Instancename,Id,State,Platform,InstanceType,Launchedtime,Region,Uptime,Instancebuilder
abc-182,i-0d2f36341bbbdf46a,running,Unix/Linux,t3a.medium,2020-07-24 13:22:39+00:00,us-west-2,"149 days, 11:42:38.702544",abc@abc.com
abc-183,i-065ef24a34135ba6e,running,Unix/Linux,t3a.small,2019-11-12 23:41:50+00:00,us-west-2,"404 days, 1:23:27.702565",abc@abc.com
abc-184,i-0cadcbeb84335131d,running,Unix/Linux,t3a.medium,2019-11-13 17:27:42+00:00,us-west-2,"403 days, 7:37:35.702583",abc@abc.com
abc-185,i-058566c4b3122d43a,stopped,Unix/Linux,t3.medium,2020-03-25 17:43:31+00:00,us-west-2, ,abc@abc.com
abc-186,i-0986df00111292d1c,running,Unix/Linux,t3.medium,2019-12-30 20:15:07+00:00,us-west-2,"356 days, 4:50:10.702622",abc@abc.com
abc-187,i-074fd146b2fba4bbe,running,Unix/Linux,t3.medium,2020-01-03 04:44:07+00:00,us-west-2,"352 days, 20:21:10.702642",abc@abc.com
abc-188,i-03cabc2a9066b932d,running,Unix/Linux,t3a.medium,2020-11-30 18:03:41+00:00,us-west-2,"20 days, 7:01:36.702671",abc@abc.com
abc-189,i-01cb7e882dad65d93,stopped,Unix/Linux,t2.medium,2020-03-04 11:50:19+00:00,us-west-2, ,abc@abc.com
abc-190,i-04b2558b6513bfbed,running,Unix/Linux,t3a.medium,2020-11-05 06:12:42+00:00,us-west-2,"45 days, 18:52:35.702720",abc@abc.com
abc-191,i-07c3c46d4ec230d4d,stopped,Unix/Linux,t3a.medium,2020-03-17 14:57:44+00:00,us-west-2, ,abc@abc.com
abc-192,i-0f7d12b369debfdbb,running,Unix/Linux,t3a.medium,2020-03-17 15:33:08+00:00,us-west-2,"278 days, 9:32:09.702761",abc@abc.com
abc-193,i-016dd1e67719f6486,running,Unix/Linux,t2.medium,2020-07-28 10:53:38+00:00,us-west-2,"145 days, 14:11:39.702807",abc@abc.com
abc-194,i-0d9ed39e997bcb8af,running,Unix/Linux,t2.medium,2020-05-13 11:59:03+00:00,us-west-2,"221 days, 13:06:14.702844",abc@abc.com
abc-195,i-051be1cb6417527cb,running,Unix/Linux,t3.medium,2020-05-26 17:43:57+00:00,us-west-2,"208 days, 7:21:20.702883",abc@abc.com
abc-196,i-0cef7c404c11e8859,running,Unix/Linux,t3.medium,2020-05-28 08:37:37+00:00,us-west-2,"206 days, 16:27:40.702904",abc@abc.com
abc-197,i-0ed0f73ddc2a05fc6,running,Unix/Linux,t3.medium,2020-06-06 19:28:10+00:00,us-west-2,"197 days, 5:37:07.702924",abc@abc.com
abc-198,i-0e2bfd4586fec1717,running,Unix/Linux,t3.medium,2020-06-19 09:30:15+00:00,us-west-2,"184 days, 15:35:02.702945",abc@abc.com
abc-199,i-0ddfd513f9cfd64ec,stopped,Unix/Linux,t3a.medium,2020-07-10 19:03:00+00:00,us-west-2, ,abc@abc.com
abc-200,i-0c3e7262f8a88f4f0,running,Unix/Linux,t3.medium,2020-06-10 08:49:17+00:00,us-west-2,"193 days, 16:16:00.702986",abc@abc.com
abc-201,i-0fb88db13caed0e21,running,Unix/Linux,t3.xlarge,2020-08-06 18:30:26+00:00,us-west-2,"136 days, 6:34:51.703003",abc@abc.com
abc-202,i-0cafdbc2995ea1885,running,Unix/Linux,t3a.medium,2020-06-22 17:29:05+00:00,us-west-2,"181 days, 7:36:12.703038",abc@abc.com
abc-203,i-03d6eef80740fba1c,running,Unix/Linux,t3.medium,2020-07-07 15:50:09+00:00,us-west-2,"166 days, 9:15:08.703061",abc@abc.com
abc-204,i-08d45a1253c2a4064,running,Unix/Linux,t2.medium,2020-07-15 09:20:44+00:00,us-west-2,"158 days, 15:44:33.703078",abc@abc.com
abc-205,i-01027085734d871da,running,Unix/Linux,t3.medium,2020-07-19 15:37:21+00:00,us-west-2,"154 days, 9:27:56.703099",abc@abc.com
abc-206,i-0592d6e2aa292a8ab,running,Unix/Linux,t2.medium,2020-07-27 15:11:03+00:00,us-west-2,"146 days, 9:54:14.703118",abc@abc.com
abc-207,i-04d986b63ba88f2fa,running,Unix/Linux,t3.medium,2020-08-27 14:45:38+00:00,us-west-2,"115 days, 10:19:39.703138",abc@abc.com
abc-208,i-06a122a52b2f52831,running,Unix/Linux,t2.medium,2020-08-28 07:58:20+00:00,us-west-2,"114 days, 17:06:57.703156",abc@abc.com
abc-209,i-0139820647ff8ea35,running,Unix/Linux,t2.medium,2020-09-01 06:14:52+00:00,us-west-2,"110 days, 18:50:25.703176",abc@abc.com
abc-210,i-0cb71e0ea864c7cfe,running,Unix/Linux,t3.medium,2020-09-01 09:00:41+00:00,us-west-2,"110 days, 16:04:36.703197",abc@abc.com
abc-211,i-073b8b2caca4cf2e1,stopped,Unix/Linux,t3.medium,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-212,i-019444f13b5daf8e1,running,Unix/Linux,t3.medium,2020-09-15 11:53:29+00:00,us-west-2,"96 days, 13:11:48.703283",abc@abc.com
abc-213,i-054203cdaa457a3ae,running,Unix/Linux,t3.large,2020-09-15 12:58:49+00:00,us-west-2,"96 days, 12:06:28.703301",abc@abc.com
abc-214,i-0e4a261914524192c,stopped,Unix/Linux,t3.medium,2020-09-30 10:12:50+00:00,us-west-2, ,abc@abc.com
abc-215,i-0fdac8f96e30d8134,running,Unix/Linux,t3.medium,2020-10-19 10:48:00+00:00,us-west-2,"62 days, 14:17:17.703375",abc@abc.com
abc-216,i-05edd490feec1feef,stopped,Unix/Linux,t3.medium,2020-09-27 16:51:00+00:00,us-west-2, ,abc@abc.com
abc-217,i-07b284569a6bbaad0,running,Unix/Linux,t3.medium,2020-09-30 10:30:52+00:00,us-west-2,"81 days, 14:34:25.703417",abc@abc.com
abc-218,i-05b41d47019d3d70a,running,Unix/Linux,t3.medium,2020-09-29 19:56:18+00:00,us-west-2,"82 days, 5:08:59.703437",abc@abc.com
abc-219,i-0a9256c9c694bf54a,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.703456",abc@abc.com
abc-220,i-0c36d51dfcef416a5,running,Unix/Linux,t3a.medium,2020-10-23 21:09:32+00:00,us-west-2,"58 days, 3:55:45.703477",abc@abc.com
abc-221,i-09018605ba3a9f8ad,running,Unix/Linux,t3a.medium,2020-10-23 15:20:12+00:00,us-west-2,"58 days, 9:45:05.703498",abc@abc.com
abc-222,i-07a996aec45c7e708,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.703519",abc@abc.com
abc-223,i-059a4020b5ca38061,running,Unix/Linux,t3a.medium,2020-10-23 21:09:02+00:00,us-west-2,"58 days, 3:56:15.703539",abc@abc.com
abc-224,i-03255deceba1ac83f,running,Unix/Linux,t3a.medium,2020-10-23 15:19:55+00:00,us-west-2,"58 days, 9:45:22.703560",abc@abc.com
abc-225,i-052548f5c096fd676,running,Unix/Linux,t3a.medium,2020-10-23 21:09:22+00:00,us-west-2,"58 days, 3:55:55.703594",abc@abc.com
abc-226,i-06a78b4b5dd49b2cc,running,Unix/Linux,t3a.medium,2020-10-23 14:40:03+00:00,us-west-2,"58 days, 10:25:14.703617",abc@abc.com
abc-227,i-0b191c8a9b5ad31dd,running,Unix/Linux,t3a.medium,2020-10-23 15:19:52+00:00,us-west-2,"58 days, 9:45:25.703637",abc@abc.com
abc-228,i-0557547c2ff3933b1,running,Unix/Linux,t3.medium,2020-10-04 20:30:16+00:00,us-west-2,"77 days, 4:35:01.703658",abc@abc.com
abc-229,i-0780ace2ff10f94e3,running,Unix/Linux,t3.medium,2020-10-05 01:42:56+00:00,us-west-2,"76 days, 23:22:21.703677",abc@abc.com
abc-230,i-092766cb77aaacbbd,running,Unix/Linux,t3.medium,2020-11-30 18:06:50+00:00,us-west-2,"20 days, 6:58:27.703695",abc@abc.com
abc-231,i-03337a03d3743b379,stopped,Unix/Linux,t3.medium,2020-11-30 18:05:14+00:00,us-west-2, ,abc@abc.com
abc-232,i-0bf68927ab584c1b4,running,Unix/Linux,t3.medium,2020-10-09 07:39:01+00:00,us-west-2,"72 days, 17:26:16.703754",abc@abc.com
abc-233,i-02eb6649cc2581301,running,Unix/Linux,t3.medium,2020-10-14 07:25:14+00:00,us-west-2,"67 days, 17:40:03.703780",abc@abc.com
abc-234,i-085f79f51a7799ca5,running,Unix/Linux,t3.medium,2020-11-04 11:47:17+00:00,us-west-2,"46 days, 13:18:00.703805",abc@abc.com
abc-235,i-023f501cc1e075103,running,Unix/Linux,t3.medium,2020-10-20 07:31:18+00:00,us-west-2,"61 days, 17:33:59.703826",abc@abc.com
abc-236,i-0af44eea9c8e8578c,running,Unix/Linux,t3.medium,2020-10-21 20:41:42+00:00,us-west-2,"60 days, 4:23:35.703847",abc@abc.com
abc-237,i-048f95bb9f264288e,running,Unix/Linux,t3.medium,2020-10-23 20:35:44+00:00,us-west-2,"58 days, 4:29:33.703864",abc@abc.com
abc-238,i-09b5865498be65c12,running,Unix/Linux,t2.medium,2020-10-28 13:50:35+00:00,us-west-2,"53 days, 11:14:42.703882",abc@abc.com
abc-239,i-05f1e0d3dd322c1cd,stopped,Unix/Linux,t3a.medium,2020-11-07 00:36:42+00:00,us-west-2, ,abc@abc.com
abc-240,i-0555783c41f254d30,stopped,Unix/Linux,t3a.medium,2020-11-07 00:47:42+00:00,us-west-2, ,abc@abc.com
abc-241,i-0c75c3c970945f6e1,running,Unix/Linux,m5.xlarge,2020-11-10 12:52:29+00:00,us-west-2,"40 days, 12:12:48.704001",abc@abc.com
abc-242,i-0d0e7be0de5f30b2d,running,Unix/Linux,t3.medium,2020-11-13 11:28:03+00:00,us-west-2,"37 days, 13:37:14.704027",abc@abc.com
abc-243,i-0e02f806dbe692152,running,Unix/Linux,t3a.medium,2020-11-18 12:57:53+00:00,us-west-2,"32 days, 12:07:24.704048",abc@abc.com
abc-244,i-07e9f6d37864b1619,running,Unix/Linux,t3.medium,2020-11-18 15:17:32+00:00,us-west-2,"32 days, 9:47:45.704069",abc@abc.com
abc-245,i-029cabd5ba812513a,running,Unix/Linux,t3.medium,2020-11-23 14:34:45+00:00,us-west-2,"27 days, 10:30:32.704088",abc@abc.com
abc-246,i-05499d7844906b582,running,Unix/Linux,m5.large,2020-11-30 10:07:25+00:00,us-west-2,"20 days, 14:57:52.704118",abc@abc.com
abc-247,i-02a20b8b2f6c1bf46,running,Unix/Linux,t3.medium,2020-12-02 14:41:30+00:00,us-west-2,"18 days, 10:23:47.704135",abc@abc.com
abc-248,i-0e8bebbfd4ba1d061,running,Unix/Linux,t3.medium,2020-12-02 17:25:04+00:00,us-west-2,"18 days, 7:40:13.704156",abc@abc.com
abc-249,i-0f2efbad720e68b13,running,Unix/Linux,t3.medium,2020-12-08 07:02:45+00:00,us-west-2,"12 days, 18:02:32.704200",abc@abc.com
abc-250,i-0838aaa363c1c3f38,stopped,Unix/Linux,t3a.medium,2020-12-18 15:28:02+00:00,us-west-2, ,abc@abc.com
abc-251,i-05c11f1fa4a2f2fec,running,Unix/Linux,t3.medium,2020-12-14 04:45:58+00:00,us-west-2,"6 days, 20:19:19.704240",abc@abc.com
abc-252,i-0e257449c0f1df8aa,running,Unix/Linux,t3.medium,2020-12-16 20:09:51+00:00,us-west-2,"4 days, 4:55:26.704280",abc@abc.com
abc-253,i-0a9d4ad02a5afe122,running,Unix/Linux,t3.medium,2020-12-17 07:25:18+00:00,us-west-2,"3 days, 17:39:59.704297",abc@abc.com
abc-254,i-0dc8812a5f9a9809a,running,Unix/Linux,t3.medium,2020-12-17 07:52:11+00:00,us-west-2,"3 days, 17:13:06.704318",abc@abc.com
abc-255,i-0953cfa727d44ea38,running,Unix/Linux,t3.medium,2020-12-17 08:12:18+00:00,us-west-2,"3 days, 16:52:59.704337",abc@abc.com
abc-256,i-0593e2c26a6eea493,running,Unix/Linux,t3.medium,2020-12-17 14:38:50+00:00,us-west-2,"3 days, 10:26:27.704354",abc@abc.com
abc-257,i-09d749421f374c7d8,stopped,Unix/Linux,m5.2xlarge,2019-10-29 21:44:46+00:00,us-west-2, ,abc@abc.com
abc-258,i-01175681567f458ac,running,Unix/Linux,t3a.medium,2019-11-06 23:26:05+00:00,us-west-2,"410 days, 1:39:12.704599",abc@abc.com
abc-259,i-05bdb1560079bdf8d,stopped,Unix/Linux,t3.medium,2019-12-17 20:53:10+00:00,us-west-2, ,abc@abc.com
abc-260,i-0d9036f813f42d0f0,stopped,Unix/Linux,t3.medium,2019-12-17 21:01:54+00:00,us-west-2, ,abc@abc.com
abc-261,i-0cd7970d8dd4a6f65,running,Unix/Linux,t3.medium,2019-12-30 20:15:07+00:00,us-west-2,"356 days, 4:50:10.704659",abc@abc.com
abc-262,i-0c31441aee7ef7c83,running,Unix/Linux,t3a.medium,2020-11-30 18:03:41+00:00,us-west-2,"20 days, 7:01:36.704680",abc@abc.com
abc-263,i-0d2efa71c769f93d7,stopped,Unix/Linux,t2.medium,2020-03-04 11:50:19+00:00,us-west-2, ,abc@abc.com
abc-264,i-0b3c767648f65f3fe,running,Unix/Linux,t3a.medium,2020-11-05 06:12:32+00:00,us-west-2,"45 days, 18:52:45.704729",abc@abc.com
abc-265,i-01be69fbc636fd986,stopped,Unix/Linux,t3a.medium,2020-03-17 14:57:43+00:00,us-west-2, ,abc@abc.com
abc-266,i-0b1d22bd6227b3ae9,running,Unix/Linux,t3a.medium,2020-03-17 15:33:08+00:00,us-west-2,"278 days, 9:32:09.704776",abc@abc.com
abc-267,i-084e271a7240b6ef5,running,Unix/Linux,t2.medium,2020-07-28 10:53:38+00:00,us-west-2,"145 days, 14:11:39.704813",abc@abc.com
abc-268,i-03fd0fa8c155c7b04,running,Unix/Linux,t2.medium,2020-05-13 11:59:03+00:00,us-west-2,"221 days, 13:06:14.704837",abc@abc.com
abc-269,i-05181a8b41df36974,running,Unix/Linux,t3.medium,2020-05-26 17:33:51+00:00,us-west-2,"208 days, 7:31:26.704868",abc@abc.com
abc-270,i-05fd925d41215caaa,running,Unix/Linux,t3.medium,2020-05-26 17:43:57+00:00,us-west-2,"208 days, 7:21:20.704888",abc@abc.com
abc-271,i-001630f96d7ef0fc0,running,Unix/Linux,t3.medium,2020-05-28 08:37:37+00:00,us-west-2,"206 days, 16:27:40.704910",abc@abc.com
abc-272,i-0e82128d37d027efd,running,Unix/Linux,t3.medium,2020-06-06 19:28:10+00:00,us-west-2,"197 days, 5:37:07.704947",abc@abc.com
abc-273,i-086f3f68d7d84af3a,running,Unix/Linux,t3.medium,2020-06-19 09:30:15+00:00,us-west-2,"184 days, 15:35:02.704967",abc@abc.com
abc-274,i-079e339dbc92ff9b4,running,Unix/Linux,t3a.medium,2020-07-10 19:03:00+00:00,us-west-2,"163 days, 6:02:17.705002",abc@abc.com
abc-275,i-046a71076d7bc38e2,running,Unix/Linux,t3.medium,2020-06-11 19:48:28+00:00,us-west-2,"192 days, 5:16:49.705025",abc@abc.com
abc-276,i-050d2ee7eb41d8439,running,Unix/Linux,t3.xlarge,2020-08-06 18:30:27+00:00,us-west-2,"136 days, 6:34:50.705045",abc@abc.com
abc-277,i-0c4ebfda1288849d9,running,Unix/Linux,t2.medium,2020-07-15 09:20:45+00:00,us-west-2,"158 days, 15:44:32.705098",abc@abc.com
abc-278,i-0285a77a757815c67,running,Unix/Linux,t2.medium,2020-07-27 15:11:03+00:00,us-west-2,"146 days, 9:54:14.705118",abc@abc.com
abc-279,i-029bf1c9254fbc8e1,running,Unix/Linux,t2.medium,2020-08-28 07:58:20+00:00,us-west-2,"114 days, 17:06:57.705177",abc@abc.com
abc-280,i-010bc3b23709525bf,running,Unix/Linux,t2.medium,2020-09-01 06:14:53+00:00,us-west-2,"110 days, 18:50:24.705197",abc@abc.com
abc-281,i-03652bd2a5c432ceb,stopped,Unix/Linux,t3.medium,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-282,i-0570892b7ba38efd2,stopped,Unix/Linux,t3.medium,2020-09-30 10:12:50+00:00,us-west-2, ,abc@abc.com
abc-283,i-01ab7cdecbf2c17a9,running,Unix/Linux,t3.medium,2020-10-19 10:48:00+00:00,us-west-2,"62 days, 14:17:17.705306",abc@abc.com
abc-284,i-0684683a0447c31c7,stopped,Unix/Linux,t3.medium,2020-09-27 16:51:00+00:00,us-west-2, ,abc@abc.com
abc-285,i-008bd4e4fed8a1122,running,Unix/Linux,t3.medium,2020-09-30 10:30:52+00:00,us-west-2,"81 days, 14:34:25.705346",abc@abc.com
abc-286,i-0de7dc5522f0eb07d,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.705384",abc@abc.com
abc-287,i-06641247b17f34036,running,Unix/Linux,t3a.medium,2020-10-23 21:09:33+00:00,us-west-2,"58 days, 3:55:44.705404",abc@abc.com
abc-288,i-0310e7433ee2bc79d,running,Unix/Linux,t3a.medium,2020-10-23 15:20:12+00:00,us-west-2,"58 days, 9:45:05.705425",abc@abc.com
abc-289,i-036ee667016cfd973,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.705445",abc@abc.com
abc-290,i-0e7acb2e8f294bd50,running,Unix/Linux,t3a.medium,2020-10-23 21:09:02+00:00,us-west-2,"58 days, 3:56:15.705465",abc@abc.com
abc-291,i-0a42b7177b19f3f80,running,Unix/Linux,t3a.medium,2020-10-23 15:19:55+00:00,us-west-2,"58 days, 9:45:22.705486",abc@abc.com
abc-292,i-04582884b0cd0c6d3,running,Unix/Linux,t3a.medium,2020-10-23 21:09:22+00:00,us-west-2,"58 days, 3:55:55.705506",abc@abc.com
abc-293,i-0561401f67362be1d,running,Unix/Linux,t3a.medium,2020-10-23 14:40:03+00:00,us-west-2,"58 days, 10:25:14.705527",abc@abc.com
abc-294,i-0f6c72202ad471edb,running,Unix/Linux,t3a.medium,2020-10-23 15:19:52+00:00,us-west-2,"58 days, 9:45:25.705547",abc@abc.com
abc-295,i-04c97b40f2755cfd1,running,Unix/Linux,t3.medium,2020-11-30 18:06:50+00:00,us-west-2,"20 days, 6:58:27.705567",abc@abc.com
abc-296,i-062ebdbb4d25a5041,stopped,Unix/Linux,t3.medium,2020-11-30 18:05:14+00:00,us-west-2, ,abc@abc.com
abc-297,i-018f052e10bf2c75e,running,Unix/Linux,t3.medium,2020-10-09 07:39:01+00:00,us-west-2,"72 days, 17:26:16.705624",abc@abc.com
abc-298,i-05b24c8b992d44ed8,running,Unix/Linux,t3.medium,2020-10-14 07:25:14+00:00,us-west-2,"67 days, 17:40:03.705661",abc@abc.com
abc-299,i-01f1e22a71d85c95b,running,Unix/Linux,t3.medium,2020-11-04 11:47:17+00:00,us-west-2,"46 days, 13:18:00.705681",abc@abc.com
abc-300,i-090ea9cffb7b7b6bc,running,Unix/Linux,t3.medium,2020-10-20 07:31:18+00:00,us-west-2,"61 days, 17:33:59.705706",abc@abc.com
abc-301,i-03ad7034437d324a8,running,Unix/Linux,t2.medium,2020-10-28 13:50:35+00:00,us-west-2,"53 days, 11:14:42.705727",abc@abc.com
abc-302,i-00970c71383a40d00,stopped,Unix/Linux,t3a.medium,2020-11-07 00:47:42+00:00,us-west-2, ,abc@abc.com
abc-303,i-0658d0deb745a7891,running,Unix/Linux,t3.medium,2020-11-13 11:28:03+00:00,us-west-2,"37 days, 13:37:14.705804",abc@abc.com
abc-304,i-0e721cf4c266ea5f4,running,Unix/Linux,t3a.medium,2020-11-18 12:57:53+00:00,us-west-2,"32 days, 12:07:24.705824",abc@abc.com
abc-305,i-0963bf2639f670d07,running,Unix/Linux,t3.medium,2020-11-23 14:34:45+00:00,us-west-2,"27 days, 10:30:32.705852",abc@abc.com
abc-306,i-01a5189f2e608c024,running,Unix/Linux,t3.medium,2020-12-02 14:41:31+00:00,us-west-2,"18 days, 10:23:46.705872",abc@abc.com
abc-307,i-07ab3440eee259972,running,Unix/Linux,t3.medium,2020-12-08 07:02:45+00:00,us-west-2,"12 days, 18:02:32.705892",abc@abc.com
abc-308,i-00175ca773966ce91,stopped,Unix/Linux,t3a.medium,2020-12-18 15:28:03+00:00,us-west-2, ,abc@abc.com
abc-309,i-040968e121f7f0648,running,Unix/Linux,t3.medium,2020-12-14 04:45:58+00:00,us-west-2,"6 days, 20:19:19.705932",abc@abc.com
abc-310,i-0eb9cff387e6d1816,running,Unix/Linux,t3.medium,2020-12-17 07:25:19+00:00,us-west-2,"3 days, 17:39:58.705971",abc@abc.com
abc-311,i-00776bdd87b691f38,running,Unix/Linux,t3.medium,2020-12-17 14:38:50+00:00,us-west-2,"3 days, 10:26:27.705992",abc@abc.com
abc-312,i-0576f33f0287225fc,running,Unix/Linux,t3.micro,2020-10-06 20:59:39+00:00,us-west-2,"75 days, 4:05:38.706030",abc@abc.com
abc-313,i-05774ffc2ca3d7383,running,windows,m5.large,2020-11-30 18:05:42+00:00,us-west-2,"20 days, 6:59:35.706049",abc@abc.com
abc-314,i-08bbc9d4b5b9bd393,running,Unix/Linux,t3.medium,2020-11-30 18:06:50+00:00,us-west-2,"20 days, 6:58:27.706070",abc@abc.com
abc-315,i-02ee755a0e2e1845c,stopped,Unix/Linux,t3.micro,2020-10-08 19:10:26+00:00,us-west-2, ,abc@abc.com
abc-316,i-08d13679c1b45f066,stopped,Unix/Linux,t3.medium,2020-11-30 18:05:14+00:00,us-west-2, ,abc@abc.com
abc-317,i-061489ff1be5f5470,stopped,windows,m5.large,2020-11-30 18:04:54+00:00,us-west-2, ,abc@abc.com
abc-318,i-0e2f7bcbf26e0115b,running,Unix/Linux,t3.micro,2020-10-09 07:19:53+00:00,us-west-2,"72 days, 17:45:24.706160",abc@abc.com
abc-319,i-070192d549adfc7ee,running,Unix/Linux,t3.medium,2020-10-09 07:39:01+00:00,us-west-2,"72 days, 17:26:16.706179",abc@abc.com
abc-320,i-04612138513273435,running,windows,m5.large,2020-10-09 07:38:37+00:00,us-west-2,"72 days, 17:26:40.706214",abc@abc.com
abc-321,i-06ece1bb2ee5e8832,running,Unix/Linux,t3.micro,2020-10-14 07:06:25+00:00,us-west-2,"67 days, 17:58:52.706236",abc@abc.com
abc-322,i-08c3a3ff106ded3cc,running,windows,m5.large,2020-10-14 07:25:04+00:00,us-west-2,"67 days, 17:40:13.706257",abc@abc.com
abc-323,i-028ccc76ebf8d6b63,running,Unix/Linux,t3.medium,2020-10-14 07:25:14+00:00,us-west-2,"67 days, 17:40:03.706277",abc@abc.com
abc-324,i-003983080d7393676,running,Unix/Linux,t3.micro,2020-10-16 07:07:21+00:00,us-west-2,"65 days, 17:57:56.706297",abc@abc.com
abc-325,i-02f2c414bc90d8fa6,running,Unix/Linux,t3.micro,2020-10-16 07:17:03+00:00,us-west-2,"65 days, 17:48:14.706317",abc@abc.com
abc-326,i-08df674c7a075587a,running,windows,m5.large,2020-10-16 07:21:44+00:00,us-west-2,"65 days, 17:43:33.706337",abc@abc.com
abc-327,i-06515aaaf6da3143f,running,Unix/Linux,m5.large,2020-10-20 05:25:26+00:00,us-west-2,"61 days, 19:39:51.706357",abc@abc.com
abc-328,i-0eeaf76cb3263661a,running,windows,m5.large,2020-10-16 07:35:53+00:00,us-west-2,"65 days, 17:29:24.706376",abc@abc.com
abc-329,i-0141f419508b2c3cd,running,Unix/Linux,t3.medium,2020-11-04 11:47:17+00:00,us-west-2,"46 days, 13:18:00.706397",abc@abc.com
abc-330,i-0760646c439ad7ce3,running,Unix/Linux,t3.micro,2020-10-20 07:13:54+00:00,us-west-2,"61 days, 17:51:23.706417",abc@abc.com
abc-331,i-08466e13ad7262ab7,running,windows,m5.large,2020-10-20 07:31:10+00:00,us-west-2,"61 days, 17:34:07.706437",abc@abc.com
abc-332,i-021137898503672e5,running,Unix/Linux,t3.medium,2020-10-20 07:31:18+00:00,us-west-2,"61 days, 17:33:59.706457",abc@abc.com
abc-333,i-0d0dab5c089a9722c,running,Unix/Linux,t3.medium,2020-10-20 17:57:12+00:00,us-west-2,"61 days, 7:08:05.706477",abc@abc.com
abc-334,i-00046b6390c32fe47,running,Unix/Linux,t3a.nano,2020-10-21 13:55:32+00:00,us-west-2,"60 days, 11:09:45.706496",abc@abc.com
abc-335,i-0c521305727bdf2b5,running,Unix/Linux,t3a.nano,2020-10-26 21:52:05+00:00,us-west-2,"55 days, 3:13:12.706513",abc@abc.com
abc-336,i-0b4696a4f938d081d,running,Unix/Linux,t3.micro,2020-10-28 13:32:54+00:00,us-west-2,"53 days, 11:32:23.706530",abc@abc.com
abc-337,i-04bea595773683a7b,running,windows,m4.large,2020-10-28 13:50:29+00:00,us-west-2,"53 days, 11:14:48.706548",abc@abc.com
abc-338,i-0bed0abe779f1d913,running,Unix/Linux,t2.medium,2020-10-28 13:50:35+00:00,us-west-2,"53 days, 11:14:42.706568",abc@abc.com
abc-339,i-0406293e184efe332,running,Unix/Linux,t3a.nano,2020-11-02 11:35:48+00:00,us-west-2,"48 days, 13:29:29.706589",abc@abc.com
abc-340,i-0d485cfb6b03e32ef,running,Unix/Linux,t3.micro,2020-11-03 09:23:49+00:00,us-west-2,"47 days, 15:41:28.706625",abc@abc.com
abc-341,i-0553781d9a55cb540,running,Unix/Linux,m5.large,2020-12-18 06:47:36+00:00,us-west-2,"2 days, 18:17:41.706644",abc@abc.com
abc-342,i-0d95ac3ad15663b2e,running,windows,m5.large,2020-12-18 06:47:36+00:00,us-west-2,"2 days, 18:17:41.706667",abc@abc.com
abc-343,i-0f7b96b93574a1a4f,stopped,Unix/Linux,t3.micro,2020-11-03 12:21:50+00:00,us-west-2, ,abc@abc.com
abc-344,i-073d65ecb89cbedf5,stopped,Unix/Linux,t3.micro,2020-11-03 12:26:41+00:00,us-west-2, ,abc@abc.com
abc-345,i-0cb1f70b38a1068c0,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-346,i-000a371e06e0f0fb3,stopped,windows,m5.large,2020-11-03 12:35:15+00:00,us-west-2, ,abc@abc.com
abc-347,i-02e2714182c5065a2,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-348,i-06ef4314ff1587532,stopped,windows,m5.large,2020-11-03 12:38:30+00:00,us-west-2, ,abc@abc.com
abc-349,i-019778574ed8d2ad9,stopped,Unix/Linux,t3.micro,2020-11-03 17:56:05+00:00,us-west-2, ,abc@abc.com
abc-350,i-0bac1fb1c4ad47643,stopped,Unix/Linux,t3.micro,2020-11-03 17:50:08+00:00,us-west-2, ,abc@abc.com
abc-351,i-0b9dcb338e27fe97f,stopped,Unix/Linux,t3.micro,2020-11-03 18:01:08+00:00,us-west-2, ,abc@abc.com
abc-352,i-082f972eea3029762,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-353,i-01b1074014b5c6d3a,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-354,i-043ceb69a1ed836a4,stopped,windows,m5.large,2020-11-03 18:02:43+00:00,us-west-2, ,abc@abc.com
abc-355,i-0a5c96c3e8d74bdca,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-356,i-0df6f8585fc2a2327,stopped,windows,m5.large,2020-11-03 18:07:50+00:00,us-west-2, ,abc@abc.com
abc-357,i-0e9be0b1fce8331ae,stopped,windows,m5.large,2020-11-03 18:13:30+00:00,us-west-2, ,abc@abc.com
abc-358,i-0954e9f84eb14f6d6,stopped,Unix/Linux,t3.micro,2020-11-05 09:08:43+00:00,us-west-2, ,abc@abc.com
